text,severity,department
Multiple potholes along Bharathi Park,1,0
Electrical hazard at Promenade Beach,1,2
Garbage bins not emptied at Promenade Beach,0,1
Streetlight pole fallen on Pondicherry Museum,1,2
Sanitation issue at Kamaraj Salai,2,1
Lamp post damaged at Sri Aurobindo Ashram,3,2
Broken road surface at Botanical Garden,0,0
Multiple streetlights out on Botanical Garden,0,2
Foul smell from waste at Dumas Street,2,1
Garbage dump on sidewalk near French War Memorial,0,1
Dark street due to lighting failure at Kamaraj Salai,2,2
Streetlight flickering on Auroville,1,2
Uncollected garbage for 3 days at Paradise Beach,1,1
Dangerous pothole on Promenade Beach causing accidents,2,0
Dark street due to lighting failure at Pondicherry Museum,1,2
Overflowing garbage bin at Bharathi Street,1,1
Waste overflow near Romain Rolland Street,0,1
Litter everywhere in Rock Beach,2,1
Waste overflow near ECR Road,1,1
Severe road damage on ECR Road,3,0
Dark street due to lighting failure at Mahatma Gandhi Road,2,2
Large pothole on ECR Road,1,0
No lights in the alley near Kamaraj Salai,1,2
Multiple streetlights out on Serenity Beach,3,2
Road surface cracked near Bharathi Street,3,0
Road surface cracked near Paradise Beach,1,0
Streetlight flickering on Promenade Beach,0,2
Road caving in near Sri Aurobindo Ashram,2,0
Large pothole on French War Memorial,1,0
Electrical hazard at Mission Street,1,2
Road caving in near Dumas Street,2,0
Deep crater in the middle of Botanical Garden,2,0
Road surface cracked near Nehru Street,1,0
Waste overflow near Auroville,1,1
Trash piling up on Romain Rolland Street,1,1
Severe road damage on ECR Road,2,0
Litter everywhere in ECR Road,1,1
Broken road surface at Bharathi Park,0,0
Garbage dump on sidewalk near Kamaraj Salai,2,1
Uncollected garbage for 3 days at Mission Street,1,1
Illegal dumping at Serenity Beach,3,1
Litter everywhere in ECR Road,2,1
Foul smell from waste at Sri Aurobindo Ashram,0,1
Foul smell from waste at Mission Street,1,1
Waste overflow near Nehru Street,2,1
Electrical hazard at Nehru Street,2,2
Multiple streetlights out on Rock Beach,3,2
Dangerous pothole on Kamaraj Salai causing accidents,2,0
No lights in the alley near Sri Aurobindo Ashram,1,2
Exposed electrical wire near Paradise Beach,0,2
Foul smell from waste at Romain Rolland Street,2,1
Garbage dump on sidewalk near Botanical Garden,0,1
Streetlight pole fallen on Vysial Street,2,2
Litter everywhere in Pondicherry Museum,2,1
Garbage dump on sidewalk near Vysial Street,1,1
Uncollected garbage for 3 days at Dumas Street,2,1
Streetlight flickering on Bharathi Park,1,2
Lamp post damaged at Bharathi Park,3,2
Large pothole on Bharathi Street,2,0
No lights in the alley near Sri Aurobindo Ashram,2,2
Waste overflow near Rock Beach,2,1
Trash piling up on Mahatma Gandhi Road,2,1
Dark street due to lighting failure at Kamaraj Salai,3,2
Waste overflow near Bharathi Street,2,1
Uneven pavement on Bharathi Street,1,0
Broken lamp post at Auroville,1,2
Uneven pavement on Auroville,2,0
Illegal dumping at Mission Street,1,1
Dangerous pothole on Botanical Garden causing accidents,2,0
Garbage bins not emptied at Rock Beach,2,1
Litter everywhere in Botanical Garden,3,1
Trash piling up on Mission Street,1,1
Damaged asphalt on Bharathi Street,3,0
Illegal dumping at Botanical Garden,2,1
Streetlight flickering on Kamaraj Salai,2,2
Garbage dump on sidewalk near Dumas Street,2,1
Overflowing garbage bin at Beach Road,2,1
Sanitation issue at Promenade Beach,1,1
Street light not working on Romain Rolland Street,2,2
Streetlight flickering on Romain Rolland Street,3,2
Uneven pavement on Kamaraj Salai,1,0
Exposed electrical wire near Pondicherry Museum,1,2
Multiple potholes along Nehru Street,2,0
No lights in the alley near Vysial Street,3,2
Trash piling up on Kamaraj Salai,2,1
Lamp post damaged at Serenity Beach,3,2
Broken road surface at Rock Beach,2,0
Street light not working on Nehru Street,2,2
Road surface cracked near ECR Road,2,0
Uneven pavement on Promenade Beach,3,0
Foul smell from waste at French War Memorial,2,1
Multiple potholes along Serenity Beach,1,0
Overflowing garbage bin at Kamaraj Salai,2,1
Street light not working on Auroville,0,2
Broken road surface at Kamaraj Salai,1,0
Foul smell from waste at Botanical Garden,2,1
Garbage bins not emptied at Pondicherry Museum,1,1
Overflowing garbage bin at Auroville,2,1
Large pothole on Romain Rolland Street,2,0
Severe road damage on Bharathi Street,2,0
Streetlight flickering on Pondicherry Museum,2,2
Streetlight pole fallen on French War Memorial,1,2
Litter everywhere in Kamaraj Salai,0,1
Illegal dumping at Pondicherry Museum,1,1
Garbage bins not emptied at Bharathi Park,2,1
Lamp post damaged at Kamaraj Salai,1,2
Streetlight pole fallen on Dumas Street,2,2
Lamp post damaged at Mahatma Gandhi Road,3,2
Overflowing garbage bin at Bharathi Street,2,1
Trash piling up on Auroville,3,1
Garbage dump on sidewalk near Botanical Garden,2,1
Dangerous pothole on ECR Road causing accidents,3,0
Streetlight pole fallen on Romain Rolland Street,2,2
Deep crater in the middle of Auroville,1,0
Broken road surface at Nehru Street,2,0
Streetlight flickering on Botanical Garden,0,2
Exposed electrical wire near Mahatma Gandhi Road,1,2
Foul smell from waste at Bharathi Street,0,1
Multiple potholes along Botanical Garden,0,0
Uneven pavement on Kamaraj Salai,2,0
Electrical hazard at Nehru Street,2,2
Road surface cracked near Bharathi Park,2,0
Road caving in near Romain Rolland Street,2,0
Multiple potholes along Mission Street,2,0
Street light not working on Bharathi Street,0,2
Electrical hazard at Mission Street,3,2
Dangerous pothole on Rock Beach causing accidents,2,0
Broken road surface at Beach Road,1,0
Road caving in near Botanical Garden,3,0
Illegal dumping at Kamaraj Salai,3,1
Streetlight flickering on Kamaraj Salai,2,2
Multiple potholes along Kamaraj Salai,2,0
Uncollected garbage for 3 days at Promenade Beach,1,1
Electrical hazard at Botanical Garden,0,2
Multiple potholes along Auroville,1,0
Litter everywhere in Rock Beach,1,1
Multiple streetlights out on Paradise Beach,0,2
No lights in the alley near Auroville,1,2
Damaged asphalt on Bharathi Park,3,0
Severe road damage on Mission Street,3,0
Electrical hazard at Serenity Beach,1,2
Severe road damage on Mahatma Gandhi Road,3,0
Dangerous pothole on Mission Street causing accidents,1,0
Sanitation issue at Pondicherry Museum,2,1
Waste overflow near Bharathi Street,2,1
Road surface cracked near Botanical Garden,1,0
Streetlight flickering on Bharathi Park,1,2
No lights in the alley near Botanical Garden,3,2
Streetlight pole fallen on Nehru Street,2,2
Deep crater in the middle of Serenity Beach,3,0
Garbage dump on sidewalk near ECR Road,0,1
Garbage dump on sidewalk near Mahatma Gandhi Road,0,1
No lights in the alley near Mission Street,1,2
Dark street due to lighting failure at Bharathi Park,1,2
Deep crater in the middle of Sri Aurobindo Ashram,2,0
Road surface cracked near Rock Beach,2,0
Damaged asphalt on Beach Road,2,0
Litter everywhere in Mahatma Gandhi Road,2,1
Dangerous pothole on Rock Beach causing accidents,0,0
Uneven pavement on Botanical Garden,1,0
Uneven pavement on Mahatma Gandhi Road,1,0
Deep crater in the middle of Mission Street,0,0
Severe road damage on Beach Road,3,0
Exposed electrical wire near ECR Road,0,2
Overflowing garbage bin at Romain Rolland Street,1,1
Uneven pavement on Botanical Garden,0,0
Streetlight pole fallen on Nehru Street,2,2
Severe road damage on Auroville,2,0
Overflowing garbage bin at Kamaraj Salai,1,1
Road surface cracked near Promenade Beach,1,0
Broken lamp post at Promenade Beach,2,2
Foul smell from waste at Promenade Beach,2,1
Illegal dumping at Kamaraj Salai,1,1
Streetlight flickering on Mission Street,2,2
Dark street due to lighting failure at ECR Road,2,2
Waste overflow near French War Memorial,2,1
Illegal dumping at Bharathi Park,0,1
Street light not working on Mahatma Gandhi Road,1,2
Dark street due to lighting failure at Pondicherry Museum,0,2
Broken road surface at Sri Aurobindo Ashram,3,0
Sanitation issue at French War Memorial,2,1
Street light not working on Sri Aurobindo Ashram,0,2
Sanitation issue at Mission Street,1,1
Overflowing garbage bin at Sri Aurobindo Ashram,2,1
Overflowing garbage bin at Dumas Street,2,1
Litter everywhere in Mission Street,2,1
Streetlight flickering on Rock Beach,3,2
Road caving in near Kamaraj Salai,2,0
Lamp post damaged at ECR Road,1,2
Exposed electrical wire near Sri Aurobindo Ashram,1,2
Road surface cracked near Beach Road,1,0
Exposed electrical wire near Mahatma Gandhi Road,0,2
Exposed electrical wire near Promenade Beach,2,2
Litter everywhere in Paradise Beach,1,1
Broken road surface at Beach Road,2,0
Streetlight flickering on ECR Road,2,2
Exposed electrical wire near Auroville,1,2
No lights in the alley near Paradise Beach,1,2
Road surface cracked near Rock Beach,2,0
Overflowing garbage bin at Romain Rolland Street,3,1
Electrical hazard at Botanical Garden,0,2
Garbage bins not emptied at Kamaraj Salai,1,1
Foul smell from waste at Nehru Street,2,1
Streetlight flickering on Kamaraj Salai,0,2
Overflowing garbage bin at Nehru Street,0,1
Dark street due to lighting failure at Botanical Garden,0,2
Road caving in near Mission Street,2,0
Litter everywhere in Bharathi Park,2,1
Road surface cracked near Pondicherry Museum,1,0
Streetlight flickering on Dumas Street,2,2
Dark street due to lighting failure at Pondicherry Museum,1,2
Sanitation issue at Serenity Beach,0,1
No lights in the alley near Botanical Garden,2,2
Deep crater in the middle of Auroville,2,0
Streetlight flickering on Romain Rolland Street,1,2
Large pothole on Mission Street,2,0
Deep crater in the middle of Mahatma Gandhi Road,3,0
Broken lamp post at Pondicherry Museum,2,2
Dangerous pothole on Vysial Street causing accidents,0,0
Foul smell from waste at Paradise Beach,1,1
Sanitation issue at French War Memorial,2,1
Garbage dump on sidewalk near Dumas Street,3,1
Streetlight pole fallen on Beach Road,0,2
No lights in the alley near Botanical Garden,2,2
Broken road surface at Paradise Beach,3,0
Trash piling up on ECR Road,2,1
Street light not working on Dumas Street,0,2
Dark street due to lighting failure at Sri Aurobindo Ashram,0,2
Dangerous pothole on Bharathi Park causing accidents,2,0
Overflowing garbage bin at Auroville,1,1
Dark street due to lighting failure at Bharathi Street,1,2
Lamp post damaged at Rock Beach,0,2
Multiple streetlights out on ECR Road,1,2
Waste overflow near French War Memorial,2,1
Street light not working on Paradise Beach,3,2
Street light not working on Beach Road,1,2
Dark street due to lighting failure at French War Memorial,1,2
Uncollected garbage for 3 days at French War Memorial,0,1
Road surface cracked near Vysial Street,2,0
Severe road damage on Mission Street,2,0
Multiple potholes along French War Memorial,1,0
Lamp post damaged at Pondicherry Museum,3,2
Road caving in near Dumas Street,3,0
Dark street due to lighting failure at Nehru Street,1,2
Sanitation issue at French War Memorial,1,1
Litter everywhere in Mission Street,1,1
Litter everywhere in ECR Road,0,1
Streetlight pole fallen on Kamaraj Salai,1,2
Foul smell from waste at Nehru Street,0,1
Broken road surface at Pondicherry Museum,1,0
Waste overflow near Beach Road,1,1
Electrical hazard at Dumas Street,0,2
Garbage dump on sidewalk near Rock Beach,2,1
Road caving in near Promenade Beach,2,0
Severe road damage on French War Memorial,3,0
Deep crater in the middle of Mahatma Gandhi Road,1,0
No lights in the alley near French War Memorial,1,2
Severe road damage on Rock Beach,2,0
Uncollected garbage for 3 days at Mahatma Gandhi Road,1,1
Dark street due to lighting failure at Kamaraj Salai,1,2
Lamp post damaged at Sri Aurobindo Ashram,2,2
Foul smell from waste at Kamaraj Salai,0,1
Exposed electrical wire near Botanical Garden,3,2
Dangerous pothole on Nehru Street causing accidents,0,0
Uncollected garbage for 3 days at Vysial Street,0,1
Waste overflow near Serenity Beach,2,1
Waste overflow near Botanical Garden,3,1
Illegal dumping at Rock Beach,1,1
Road surface cracked near Romain Rolland Street,0,0
Street light not working on Nehru Street,2,2
Severe road damage on Mission Street,1,0
Streetlight pole fallen on Beach Road,1,2
Broken road surface at Vysial Street,1,0
Large pothole on Bharathi Park,1,0
Uneven pavement on ECR Road,2,0
Garbage bins not emptied at Beach Road,1,1
Litter everywhere in Bharathi Street,1,1
Road surface cracked near Paradise Beach,3,0
Street light not working on Mahatma Gandhi Road,1,2
Streetlight flickering on Sri Aurobindo Ashram,2,2
Deep crater in the middle of Beach Road,2,0
Large pothole on Rock Beach,2,0
Dark street due to lighting failure at Beach Road,1,2
Road surface cracked near ECR Road,2,0
Road surface cracked near Vysial Street,1,0
Multiple streetlights out on French War Memorial,1,2
Foul smell from waste at ECR Road,3,1
Large pothole on French War Memorial,1,0
Damaged asphalt on Bharathi Street,2,0
Foul smell from waste at Rock Beach,1,1
Exposed electrical wire near Kamaraj Salai,0,2
Damaged asphalt on Botanical Garden,1,0
No lights in the alley near Paradise Beach,1,2
Broken road surface at Vysial Street,0,0
Dark street due to lighting failure at ECR Road,2,2
Garbage dump on sidewalk near Rock Beach,2,1
Garbage dump on sidewalk near Pondicherry Museum,2,1
No lights in the alley near Kamaraj Salai,1,2
Waste overflow near Paradise Beach,1,1
Illegal dumping at Auroville,3,1
